term,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),0.3463739218588969,0.04994093262085514,6.935671876384874,7.10757470860122e-11
lpi_score,-0.0472710933123243,0.008537090632852216,-5.537143196116119,1.0815652088507854e-7
factor(year)2020,0.0043760314894578526,0.010873927375861854,0.40243339303257153,0.6878452669633082
factor(year)2021,0.002987317365523786,0.01081415032614088,0.27624152387659984,0.7826812494082452
factor(year)2022,0.005163005746831846,0.010908518604332913,0.4733003567304801,0.63657559140732
factor(year)2023,0.0054757480152472756,0.010903559659048637,0.5021981982464843,0.6161453214421798
log(total_imports),-0.001646817294658877,0.0034760998649335066,-0.4737543104764565,0.6362524346692655
