sector_name,intra_regional_share_pct_2019,intra_regional_share_pct_2023,avg_hhi_2019,avg_hhi_2023,avg_cr3_2019,avg_cr3_2023,regionalization_change,hhi_change,cr3_change
Wood pulp & paper,59.32923366620305,60.291127015284786,0.14402742625338025,0.14717399628668149,0.4855440280115518,0.49460968216562495,0.9618933490817341,0.003146570033301238,0.009065654154073177
Footwear & headwear,36.15683776667298,37.04537374054951,0.26463135420102657,0.24493143404867904,0.6827831135339476,0.6696016255433239,0.8885359738765288,-0.019699920152347533,-0.013181487990623686
Textiles & clothing,36.78972763986126,36.59089881475215,0.16765039762122977,0.17440387170073512,0.5457516436513139,0.5429632640575137,-0.1988288251091106,0.006753474079505356,-0.002788379593800183
Stone & glass,36.76203559985963,36.05983758280345,0.14644108456607316,0.15099250782586204,0.5157990958038445,0.5323710744348318,-0.7021980170561761,0.004551423259788884,0.01657197863098725
Hides & leather,36.95555851284414,36.19026956028062,0.2387959626565713,0.22916591547484103,0.63724340192664,0.6352565286127918,-0.7652889525635231,-0.009630047181730272,-0.00198687331384817
Metals,56.23618900548095,55.21393219173456,0.13233708774729971,0.1425105076537167,0.49671632318367515,0.501554043784119,-1.0222568137463952,0.010173419906416986,0.004837720600443907
Miscellaneous manufactures,37.62392057516102,36.59273893524128,0.14021449693813107,0.1359750185718992,0.5260652499891048,0.5116480684842606,-1.031181639919744,-0.004239478366231869,-0.014417181504844168
Machinery & electronics,42.010742983084185,40.50195158743217,0.15111644024471335,0.16325733600294032,0.543445007947447,0.5562061957581587,-1.5087913956520183,0.012140895758226966,0.012761187810711672
Chemicals,48.29066999677712,46.38381919763081,0.10146787142149057,0.10346204210285168,0.4407092711377724,0.4458843720910941,-1.9068507991463122,0.00199417068136111,0.005175100953321687
Transport equipment,51.230530841683695,49.1713827361589,0.15579421745433228,0.15054815081138195,0.5508280760352536,0.5405617852260549,-2.059148105524798,-0.0052460666429503255,-0.01026629080919872
Plastics & rubber,54.95136067588196,52.43010640413392,0.13123759637486218,0.13465982437846707,0.4864414399711143,0.49545032530809785,-2.5212542717480346,0.0034222280036048935,0.009008885336983574
