year,partner_iso3,partner_name,total_value,global_share_pct
2020,NPL,Nepal,433222.95411334827,0.0042497969774662565
2020,LBR,Liberia,407774.38494487264,0.004000153574903769
2020,MAC,Macao,368755.4501503199,0.0036173886507939136
2020,ZWE,Zimbabwe,365285.14506657963,0.0035833459207960322
2020,SLB,Solomon Islands,352410.5469388446,0.0034570496853591963
2020,GNQ,Equatorial Guinea,305365.2548880975,0.0029955484235655474
2020,JAM,Jamaica,302354.4504401056,0.002966013267310945
2020,NER,Niger,257373.33148506575,0.002524760970859074
2020,BMU,Bermuda,230964.93499523768,0.0022657019285885717
2020,SUD,SUD,227869.67491152257,0.002235338285980653
2020,UGA,Uganda,227149.93675353832,0.00222827785434995
2020,SLE,Sierra Leone,211332.60182273074,0.0020731141873690678
2020,FJI,Fiji,166338.85044790496,0.001631737970384098
2020,BTN,Bhutan,150105.74541935005,0.001472495714104217
2020,FLK,Falkland Islands,138890.44015431902,0.0013624766812617888
2020,SYR,Syria,135464.31436227827,0.0013288673378574584
2020,TGO,Togo,130704.32426475165,0.0012821731557113637
2020,MNT,MNT,120947.25338982596,0.001186458997632994
2020,BEN,Benin,117723.22797861465,0.0011548322028896681
2020,ATG,ATG,114044.79235357646,0.00111874777002972
2020,GIB,GIB,107122.58065676266,0.001050842793926344
2020,DJI,Djibouti,104777.48698907379,0.001027838075717872
2020,SMR,San Marino,103487.56697999295,0.0010151843183310212
2020,VGB,VGB,96145.92399007728,9.431648376180565e-4
2020,CAF,Central African Republic,94308.27944361023,9.251380544915333e-4
2020,RWA,Rwanda,85045.23276194376,8.342701366766908e-4
2020,YEM,Yemen,82522.98122296692,8.095275489052476e-4
2020,PRK,PRK,80137.12604914776,7.861229716313574e-4
2020,NIU,NIU,78530.30582136051,7.70360511026384e-4
2020,AND,Andorra,74921.86642671046,7.349627217653336e-4
2020,KNA,St. Kitts and Nevis,61122.96638555498,5.995993410153876e-4
2020,PYF,French Polynesia,60760.875568072726,5.960473305618932e-4
2020,SXM,Sint Maarten,53488.21198095184,5.247045186512651e-4
2020,BRB,Barbados,53153.47495347095,5.214208412880797e-4
2020,AFG,Afghanistan,49573.68361221155,4.8630408148208005e-4
2020,FRO,Faroe Islands,47104.45078546162,4.620815925669688e-4
2020,BLM,BLM,46255.43375596315,4.5375297107652966e-4
2020,ABW,Aruba,43942.4816613629,4.3106355278203047e-4
2020,MWI,Malawi,43611.116591847735,4.2781295339090265e-4
2020,FRE,FRE,40144.71734,3.93808538520172e-4
2020,CUW,Curaçao,38064.605800366124,3.734032214657672e-4
2020,GMB,Gambia,36558.55474052975,3.586292784388982e-4
2020,WSM,Samoa,35396.66853467515,3.472314971373361e-4
2020,PSE,Palestine,33067.90378354449,3.243869610696659e-4
2020,GRL,Greenland,25020.44660898956,2.454436390411554e-4
2020,SYC,Seychelles,23178.103941946123,2.2737076865532213e-4
2020,MDV,Maldives,21715.330983344644,2.130213717935911e-4
2020,BLZ,Belize,19886.24929295768,1.9507858790935673e-4
2020,CPV,Cabo Verde,19518.449498501006,1.914705739757605e-4
2020,DMA,Dominica,18020.11452510291,1.7677232361593953e-4
