partner_region,partner_name,total_value,share_pct
Latin America & Caribbean,AIA,75.566323,4.01902448540369e-5
East Asia & Pacific,Micronesia,59.447759,3.161752345993831e-5
Latin America & Caribbean,St. Kitts and Nevis,52.557749,2.7953044655712743e-5
East Asia & Pacific,NIU,45.188888,2.403388707164764e-5
Latin America & Caribbean,Aruba,45.179161,2.4028713728600436e-5
NA,UMI,44.212345,2.3514508852325052e-5
East Asia & Pacific,HMD,41,2.1806010582458976e-5
East Asia & Pacific,Tonga,40.573722,2.157929295857923e-5
Latin America & Caribbean,MSR,37.02469,1.9691726389079584e-5
East Asia & Pacific,Fiji,32.387024,1.722516556288665e-5
Latin America & Caribbean,St. Vincent and the Grenadines,22.141879,1.1776245068037222e-5
Europe & Central Asia,Faroe Islands,20.683215,1.1000448906567663e-5
East Asia & Pacific,NFK,17.271349,9.18583461139859e-6
East Asia & Pacific,CXR,17.07036,9.07893782454596e-6
South Asia,Maldives,15.537388,8.263620662238318e-6
Latin America & Caribbean,Falkland Islands,12.884744,6.852801561372555e-6
Latin America & Caribbean,Sint Maarten,11.207628,5.9608208481039885e-6
NA,ESH,10.41379,5.538614998622084e-6
NA,BUN,9.538754,5.073223674816412e-6
South Asia,Bhutan,9.511531,5.058745015643575e-6
East Asia & Pacific,Solomon Islands,8.306341,4.4177599938417774e-6
East Asia & Pacific,Kiribati,8.140958,4.32980039754522e-6
East Asia & Pacific,Tuvalu,7.732619,4.1126237010761785e-6
East Asia & Pacific,Cook Islands,5.958863,3.1692446253030058e-6
Latin America & Caribbean,BLM,5.615679,2.9867208707729907e-6
Latin America & Caribbean,BES,2,1.0637078332906816e-6
East Asia & Pacific,Palau,1.209412,6.432305090378749e-7
East Asia & Pacific,Samoa,1.15361,6.135519967812317e-7
East Asia & Pacific,Northern Mariana Islands,0.983835,5.232564980827689e-7
NA,BVT,0.561831,2.988120178427685e-7
NA,WLF,0.370342,1.9696784319826882e-7
North America,SPM,0.002602,1.3838838911111769e-9
