year,sector_name,total_imports,intra_regional_imports,intra_regional_share_pct,avg_hhi,avg_cr3
2019,Chemicals,1456721258.707518,703460455.8153454,48.29066999677712,0.10146787142149057,0.4407092711377724
2019,Footwear & headwear,129176045.04432562,46705973.040081225,36.15683776667298,0.26463135420102657,0.6827831135339476
2019,Hides & leather,78252474.63923365,28918639.053050514,36.95555851284414,0.2387959626565713,0.63724340192664
2019,Machinery & electronics,3343472756.3204813,1404617746.3672378,42.010742983084185,0.15111644024471335,0.543445007947447
2019,Metals,904728957.1812141,508785086.34774435,56.23618900548095,0.13233708774729971,0.49671632318367515
2019,Miscellaneous manufactures,1135286159.43511,427139162.9266618,37.62392057516102,0.14021449693813107,0.5260652499891048
2019,Plastics & rubber,612956513.9924759,336827944.79031825,54.95136067588196,0.13123759637486218,0.4864414399711143
2019,Stone & glass,585115418.053861,215100338.28522786,36.76203559985963,0.14644108456607316,0.5157990958038445
2019,Textiles & clothing,550827302.5325946,202647864.36773616,36.78972763986126,0.16765039762122977,0.5457516436513139
2019,Transport equipment,1512386708.9508405,774803739.3745854,51.230530841683695,0.15579421745433228,0.5508280760352536
2019,Wood pulp & paper,333448145.6390876,197832229.48183534,59.32923366620305,0.14402742625338025,0.4855440280115518
2020,Chemicals,1483512876.4050474,715850733.0346429,48.25375933165762,0.1037539320141173,0.44826521532458674
2020,Footwear & headwear,112379217.08550307,46364016.14716415,41.25675311644889,0.2530703957242685,0.6774306039695959
2020,Hides & leather,63842608.45864186,24638460.272479754,38.59250251098511,0.22230142197740285,0.6238273672785957
2020,Machinery & electronics,3218506244.397849,1397593846.163547,43.423679807867614,0.16232876451849676,0.5554343277956921
2020,Metals,817383891.7841651,467073279.29523337,57.14246194352051,0.1352645271259127,0.4971991707686822
2020,Miscellaneous manufactures,1084487825.4786587,421921122.0867921,38.90510452715958,0.140319080862273,0.523816704546246
2020,Plastics & rubber,589434084.8474555,322752929.34210324,54.75640748288778,0.13296242458550672,0.48928379015116774
2020,Stone & glass,646183524.1203551,224981875.2191652,34.81702439340764,0.1424160358275314,0.5216863316312895
2020,Textiles & clothing,547711184.4823534,197942226.1045086,36.13989118947526,0.1916754392268261,0.5701668764326212
2020,Transport equipment,1250536367.0598137,651667624.184018,52.11104941443486,0.1504079644734389,0.5437226650831104
2020,Wood pulp & paper,311911044.8693819,190712693.41390765,61.14329599766878,0.13893844025424965,0.47974087076639105
2021,Chemicals,1819217700.7917764,878811304.7430338,48.30709949449973,0.10621487295313982,0.4538930035839336
2021,Footwear & headwear,134278098.78907123,50443653.859631695,37.566553529232166,0.2586512729245019,0.6813540641997381
2021,Hides & leather,78603744.97843549,28716924.700159665,36.53378691821617,0.2222234221072191,0.6250605224475255
2021,Machinery & electronics,3819139533.652604,1632651543.3686366,42.74919858209992,0.16621451039396024,0.5570464430617206
2021,Metals,1174000291.6555274,671784365.2685461,57.221822689773205,0.13490352332258426,0.4973152589523186
2021,Miscellaneous manufactures,1320442133.7821877,498488869.9973465,37.75166341969926,0.14203765523965298,0.5279052044448339
2021,Plastics & rubber,771203930.8457044,415728031.6118963,53.90636833969553,0.1295814280403273,0.4877921307555843
2021,Stone & glass,750382388.692342,279435624.49344856,37.23909685306029,0.1449574483585097,0.5271492700417462
2021,Textiles & clothing,590621394.1647941,221072256.71540257,37.43045187653995,0.1742762473758105,0.5460063650852354
2021,Transport equipment,1433024409.626113,723019554.2094389,50.454098991801565,0.14174652958312542,0.5310162982611047
2021,Wood pulp & paper,389574224.8762346,239967651.77354285,61.597414934157705,0.14117973494377684,0.48594899186530927
2022,Chemicals,1983212048.8904715,905635983.6007524,45.66511100552358,0.10184396516426725,0.43965028357895386
2022,Footwear & headwear,156982148.8575295,51215037.1366925,32.62475224694061,0.25428679222427186,0.6817634244550349
2022,Hides & leather,85815518.34150699,28286526.153476954,32.96201747673347,0.22824268793125432,0.6313101785891697
2022,Machinery & electronics,4034734133.084527,1622857314.3055012,40.222162372439584,0.16984523712968122,0.5630133873707807
2022,Metals,1281402207.9231455,707272716.1981167,55.195215977069445,0.1365260725375558,0.4976601161091778
2022,Miscellaneous manufactures,1272879032.582533,452369501.297105,35.53908028316694,0.13419032571597173,0.5199467918409486
2022,Plastics & rubber,832039386.8292011,427369415.8452639,51.36408475491956,0.13165111351893435,0.4940862462803357
2022,Stone & glass,777298747.9355026,256240998.20101923,32.9655745466711,0.14482178478830757,0.5262261982810048
2022,Textiles & clothing,635091911.0473151,216259907.89959684,34.05174969760955,0.17192843218585627,0.547373768763129
2022,Transport equipment,1503805863.044307,731025841.1870629,48.611716389186896,0.158385835684771,0.5490209459641984
2022,Wood pulp & paper,423394443.6972269,251310801.4601237,59.35618787662652,0.140449332999795,0.4847677975124188
2023,Chemicals,1855057857.063799,860446682.431917,46.38381919763081,0.10346204210285168,0.4458843720910941
2023,Footwear & headwear,138333543.199618,51246178.086843,37.04537374054951,0.24493143404867904,0.6696016255433239
2023,Hides & leather,82619388.666875,29900179.467598,36.19026956028062,0.22916591547484103,0.6352565286127918
2023,Machinery & electronics,4003607537.456179,1621539186.571287,40.50195158743217,0.16325733600294032,0.5562061957581587
2023,Metals,1143879077.60946,631580618.266726,55.21393219173456,0.1425105076537167,0.501554043784119
2023,Miscellaneous manufactures,1212723879.544708,443768883.24712497,36.59273893524128,0.1359750185718992,0.5116480684842606
2023,Plastics & rubber,729703674.794159,382584413.129453,52.43010640413392,0.13465982437846707,0.49545032530809785
2023,Stone & glass,751711865.374822,271066077.744823,36.05983758280345,0.15099250782586204,0.5323710744348318
2023,Textiles & clothing,558639869.721491,204411349.468654,36.59089881475215,0.17440387170073512,0.5429632640575137
2023,Transport equipment,1752469783.921334,861713624.787496,49.1713827361589,0.15054815081138195,0.5405617852260549
2023,Wood pulp & paper,363484077.337037,219148646.747609,60.291127015284786,0.14717399628668149,0.49460968216562495
